title,path,downloads,size,author,task,framework,license,date,url
FSMN语音端点检测-中文-通用-16k,iic/speech_fsmn_vad_zh-cn-16k-common-pytorch,221,242.9M,通义实验室,语音端点检测,PyTorch,Apache License 2.0,2024.02.06,https://modelscope.cn/models/iic/speech_fsmn_vad_zh-cn-16k-common-pytorch
SeACoParaformer热词语音识别-中文-通用-16k-离线-large,iic/speech_seaco_paraformer_large_asr_nat-zh-cn-16k-common-vocab8404-pytorch,124,131.2M,通义实验室,语音识别,PyTorch,Apache License 2.0,2024.09.30,https://modelscope.cn/models/iic/speech_seaco_paraformer_large_asr_nat-zh-cn-16k-common-vocab8404-pytorch
CT-Transformer标点-中文-通用-pytorch,iic/punc_ct-transformer_zh-cn-common-vocab272727-pytorch,129,106.0M,通义实验室,标点预测,PyTorch,Apache License 2.0,2024.12.25,https://modelscope.cn/models/iic/punc_ct-transformer_zh-cn-common-vocab272727-pytorch
Paraformer语音识别-中文-通用-16k-离线-large-长音频版,iic/speech_paraformer-large-vad-punc_asr_nat-zh-cn-16k-common-vocab8404-pytorch,597,76.5M,通义实验室,语音识别,PyTorch,Apache License 2.0,2024.02.01,https://modelscope.cn/models/iic/speech_paraformer-large-vad-punc_asr_nat-zh-cn-16k-common-vocab8404-pytorch
FSMN语音端点检测-中文-通用-16k-onnx,iic/speech_fsmn_vad_zh-cn-16k-common-onnx,45,65.5M,通义实验室,语音端点检测,ONNX,Apache License 2.0,2024.06.21,https://modelscope.cn/models/iic/speech_fsmn_vad_zh-cn-16k-common-onnx
CAM++说话人确认-中文-通用-200k-Spkrs,iic/speech_campplus_sv_zh-cn_16k-common,233,55.7M,通义实验室,说话人确认,PyTorch,Apache License 2.0,2024.06.24,https://modelscope.cn/models/iic/speech_campplus_sv_zh-cn_16k-common
PDF-Extract-Kit-1.0 模型仓库 (MinerU使用仓库),OpenDataLab/PDF-Extract-Kit-1.0,52,1.55B,OpenDataLab,文字检测,Safetensors等3个框架,N/A,2026.03.19,https://modelscope.cn/models/OpenDataLab/PDF-Extract-Kit-1.0
emotion2vec+large语音情感识别基座模型large模型,iic/emotion2vec_plus_large,76,50.5M,通义实验室,情绪识别,PyTorch,Apache License 2.0,2026.03.16,https://modelscope.cn/models/iic/emotion2vec_plus_large
SenseVoice多语言语音理解模型Small,iic/SenseVoiceSmall,589,40.7M,通义实验室,语音识别,PyTorch,Apache License 2.0,2024.09.26,https://modelscope.cn/models/iic/SenseVoiceSmall
基于FST的中文ITN,thuduj12/fst_itn_zh,24,39.5M,孤鸿,逆文本正则化,c++,Apache License 2.0,2023.09.14,https://modelscope.cn/models/thuduj12/fst_itn_zh
Paraformer语音识别-中文-通用-16k-离线-large-pytorch,iic/speech_paraformer-large_asr_nat-zh-cn-16k-common-vocab8404-pytorch,601,33.7M,通义实验室,语音识别,PyTorch,Apache License 2.0,2024.02.01,https://modelscope.cn/models/iic/speech_paraformer-large_asr_nat-zh-cn-16k-common-vocab8404-pytorch
Ngram语言模型-中文-ai-wesp-fst,iic/speech_ngram_lm_zh-cn-ai-wesp-fst,10,29.4M,通义实验室,困惑度计算,PyTorch,Apache License 2.0,2023.12.12,https://modelscope.cn/models/iic/speech_ngram_lm_zh-cn-ai-wesp-fst
Paraformer语音识别-中文-通用-16k-离线-large-长音频版-onnx,iic/speech_paraformer-large-vad-punc_asr_nat-zh-cn-16k-common-vocab8404-onnx,50,29.2M,通义实验室,语音识别,ONNX,Apache License 2.0,2024.09.25,https://modelscope.cn/models/iic/speech_paraformer-large-vad-punc_asr_nat-zh-cn-16k-common-vocab8404-onnx
CT-Transformer标点-中英文-通用-large,iic/punc_ct-transformer_cn-en-common-vocab471067-large,35,27.5M,通义实验室,标点预测,PyTorch,Apache License 2.0,2024.02.06,https://modelscope.cn/models/iic/punc_ct-transformer_cn-en-common-vocab471067-large
CT-Transformer标点-中文-通用-实时-onnx,iic/punc_ct-transformer_zh-cn-common-vad_realtime-vocab272727-onnx,25,25.1M,通义实验室,标点预测,ONNX,Apache License 2.0,2024.09.25,https://modelscope.cn/models/iic/punc_ct-transformer_zh-cn-common-vad_realtime-vocab272727-onnx
